1,0,0,0,0,1,0,0,0,0,1,0,0, 0.1, 0.2, 1,	1,0,0,0,0,1,0,0,0,0,1,0,0.104546, 0.0348488, 0.01, 1,	1827.05, 603.485
1,0,0,0,0,1,0,0,0,0,1,0,0, 0.1, 0.2, 1,	1,0,0,0,0,1,0,0,0,0,1,0,0.139395, 0.0348488, 0.01, 1,	1905.27, 611.416
1,0,0,0,0,1,0,0,0,0,1,0,0, 0.1, 0.2, 1,	1,0,0,0,0,1,0,0,0,0,1,0,0, 0.0696976, 0.01, 1,	1566.97, 673.103
1,0,0,0,0,1,0,0,0,0,1,0,0, 0.1, 0.2, 1,	1,0,0,0,0,1,0,0,0,0,1,0,0.0348488, 0.0696976, 0.01, 1,	1656.46, 679.226
1,0,0,0,0,1,0,0,0,0,1,0,0, 0.1, 0.2, 1,	1,0,0,0,0,1,0,0,0,0,1,0,0.0696976, 0.0696976, 0.01, 1,	1742.79, 685.449
1,0,0,0,0,1,0,0,0,0,1,0,0, 0.1, 0.2, 1,	1,0,0,0,0,1,0,0,0,0,1,0,0.104546, 0.0696976, 0.01, 1,	1825.45, 691.873
1,0,0,0,0,1,0,0,0,0,1,0,0, 0.1, 0.2, 1,	1,0,0,0,0,1,0,0,0,0,1,0,0.139395, 0.0696976, 0.01, 1,	1904.24, 698.16
1,0,0,0,0,1,0,0,0,0,1,0,0, 0.1, 0.2, 1,	1,0,0,0,0,1,0,0,0,0,1,0,0, 0.104546, 0.01, 1,	1563.18, 766.54
1,0,0,0,0,1,0,0,0,0,1,0,0, 0.1, 0.2, 1,	1,0,0,0,0,1,0,0,0,0,1,0,0.0348488, 0.104546, 0.01, 1,	1653.06, 771.657
1,0,0,0,0,1,0,0,0,0,1,0,0, 0.1, 0.2, 1,	1,0,0,0,0,1,0,0,0,0,1,0,0.0696976, 0.104546, 0.01, 1,	1739.67, 776.487
1,0,0,0,0,1,0,0,0,0,1,0,0, 0.1, 0.2, 1,	1,0,0,0,0,1,0,0,0,0,1,0,0.104546, 0.104546, 0.01, 1,	1822.63, 781.134
1,0,0,0,0,1,0,0,0,0,1,0,0, 0.1, 0.2, 1,	1,0,0,0,0,1,0,0,0,0,1,0,0.139395, 0.104546, 0.01, 1,	1901.65, 785.94
1,0,0,0,0,1,0,0,0,0,1,0,0, 0.1, 0.2, 1,	1,0,0,0,0,1,0,0,0,0,1,0,0, 0.139395, 0.01, 1,	1558.42, 860.304
1,0,0,0,0,1,0,0,0,0,1,0,0, 0.1, 0.2, 1,	1,0,0,0,0,1,0,0,0,0,1,0,0.0348488, 0.139395, 0.01, 1,	1648.48, 864.247
1,0,0,0,0,1,0,0,0,0,1,0,0, 0.1, 0.2, 1,	1,0,0,0,0,1,0,0,0,0,1,0,0.0696976, 0.139395, 0.01, 1,	1735.38, 868.012
1,0,0,0,0,1,0,0,0,0,1,0,0, 0.1, 0.2, 1,	1,0,0,0,0,1,0,0,0,0,1,0,0.104546, 0.139395, 0.01, 1,	1818.47, 871.309
1,0,0,0,0,1,0,0,0,0,1,0,0, 0.1, 0.2, 1,	1,0,0,0,0,1,0,0,0,0,1,0,0.139395, 0.139395, 0.01, 1,	1897.77, 874.518
1,0,0,0,0,1,0,0,0,0,1,0,0.1, 0.1, 0.1, 1,	1,0,0,0,0,1,0,0,0,0,1,0,0, 0, 0.01, 1,	1324.97, 398.572
1,0,0,0,0,1,0,0,0,0,1,0,0.1, 0.1, 0.1, 1,	1,0,0,0,0,1,0,0,0,0,1,0,0.0348488, 0, 0.01, 1,	1435.12, 406.206
1,0,0,0,0,1,0,0,0,0,1,0,0.1, 0.1, 0.1, 1,	1,0,0,0,0,1,0,0,0,0,1,0,0.0696976, 0, 0.01, 1,	1543.67, 415.427
